GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hu.bme.mit.train.system,hu.bme.mit.train.system,TrainSystem.new TimerTask() {...},11,0,0,0,3,0,2,0,2,0
hu.bme.mit.train.system,hu.bme.mit.train.system,TrainSystem,13,33,0,0,3,7,1,4,1,4
